centro 1: 7569
centro 2: 22035
centro 3: 6908
centro 1: 9139
centro 2: 3358
centro 3: 24015
centro 1: 7709
centro 2: 7836
centro 3: 20967
centro 1: 2929
centro 2: 7598
centro 3: 3677
centro 4: 1986
centro 5: 7951
centro 6: 1
centro 7: 3951
centro 8: 4593
centro 9: 3825
centro 10: 1
centro 1: 4660
centro 2: 10440
centro 3: 4949
centro 4: 1380
centro 5: 2233
centro 6: 1
centro 7: 1
centro 8: 1404
centro 9: 4834
centro 10: 6610
centro 1: 3873
centro 2: 7952
centro 3: 1057
centro 4: 4064
centro 5: 2499
centro 6: 3270
centro 7: 3019
centro 8: 7915
centro 9: 1697
centro 10: 1166
centro 1: 2109
centro 2: 3899
centro 3: 6245
centro 4: 2912
centro 5: 4988
centro 6: 1
centro 7: 6286
centro 8: 5568
centro 9: 2644
centro 10: 1860
centro 1: 20032
centro 2: 16480
centro 1: 16185
centro 2: 20327
centro 1: 22807
centro 2: 13705
centro 1: 16550
centro 2: 19962
centro 1: 26587
centro 2: 9925
centro 1: 16799
centro 2: 19713
centro 1: 31174
centro 2: 5338
centro 1: 17923
centro 2: 18589
centro 1: 16273
centro 2: 20239
centro 1: 19721
centro 2: 16791
centro 1: 5387
centro 2: 31125
centro 1: 30883
centro 2: 5629
centro 1: 14938
centro 2: 21574
centro 1: 8173
centro 2: 28339
centro 1: 2992
centro 2: 1619
centro 3: 3239
centro 4: 3434
centro 5: 3661
centro 6: 1932
centro 7: 3067
centro 8: 2138
centro 9: 627
centro 10: 2971
centro 11: 1888
centro 12: 2208
centro 13: 1888
centro 14: 2686
centro 15: 981
centro 16: 1181
centro 1: 3506
centro 2: 3046
centro 3: 1010
centro 4: 860
centro 5: 1684
centro 6: 4212
centro 7: 1746
centro 8: 1585
centro 9: 3003
centro 10: 3132
centro 11: 1441
centro 12: 1951
centro 13: 1049
centro 14: 1154
centro 15: 1746
centro 16: 1116
centro 17: 1346
centro 18: 1290
centro 19: 794
centro 20: 841
centro 1: 28339
centro 2: 8173
centro 1: 18115
centro 2: 18397
centro 1: 5258
centro 2: 4245
centro 3: 4168
centro 4: 2851
centro 5: 4373
centro 6: 4043
centro 7: 3614
centro 8: 1803
centro 9: 2210
centro 10: 3947
centro 1: 4856
centro 2: 5991
centro 3: 4761
centro 4: 2731
centro 5: 4512
centro 6: 4277
centro 7: 2824
centro 8: 323
centro 9: 4156
centro 10: 2081
centro 1: 3454
centro 2: 7065
centro 3: 14910
centro 4: 11083
centro 1: 20041
centro 2: 16471
centro 1: 6474
centro 2: 5960
centro 3: 7586
centro 4: 7672
centro 5: 8820
